,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
56,TC212807,Erik,A,2,2128-11-24 12:00:00,2128-11-25 12:00:00,2128-11-23 00:00:00,2128-11-23 00:00:00,2128-11-19 18:00:00,994.85,-62.45,21.4,994.85,-62.45,21.4,1006.88,-53.76,24.41,1012.06,-49.25,26.5,1003.57,-76.27,16.84
57,TC212905,Marco,A,1,2129-10-28 06:00:00,2129-10-29 06:00:00,2129-10-28 12:00:00,2129-10-28 00:00:00,2129-10-22 00:00:00,963.18,-58.26,42.76,967.11,-62.06,40.26,963.38,-60.53,41.82,984.38,-48.02,46.75,1002.98,-57.37,38.42
58,TC213003,Winnie,A,1,2130-09-28 18:00:00,2130-09-29 00:00:00,2130-09-26 06:00:00,2130-09-26 06:00:00,2130-09-17 12:00:00,971.08,-74.07,29.52,971.08,-74.07,29.52,1001.79,-73.39,41.08,998.55,-70.49,43.27,1008.28,-38.15,13.68
59,TC213103,Esther,B,3,2131-03-12 00:00:00,2131-03-12 00:00:00,2131-03-10 18:00:00,2131-03-10 18:00:00,2131-03-07 12:00:00,969.97,-32.56,47.59,969.97,-32.56,47.59,980.63,-20.25,50.75,980.63,-20.25,50.75,975.99,-55.22,34.26
60,TC213105,Helena,B,1,2131-07-05 12:00:00,2131-07-06 06:00:00,2131-07-05 06:00:00,2131-07-05 06:00:00,2131-06-29 18:00:00,981.88,-61.69,42.81,981.88,-61.69,42.81,986.35,-58.24,44.46,996.17,-45.0,50.75,1013.35,-76.18,31.02
61,TC213202,Nathan,B,2,2132-05-31 12:00:00,2132-06-03 06:00:00,2132-05-30 00:00:00,2132-05-30 00:00:00,2132-05-27 06:00:00,987.89,-89.73,29.65,987.89,-89.73,29.65,1000.36,-90.84,36.54,1007.38,-74.36,39.79,1008.35,-90.53,24.12
62,TC213203,Queenie,B,1,2132-08-04 12:00:00,2132-08-06 00:00:00,2132-08-05 12:00:00,2132-07-30 12:00:00,2132-07-30 18:00:00,998.19,-38.04,40.38,1001.67,-78.45,36.07,1000.99,-46.51,38.57,1003.55,-33.25,41.0,1004.25,-78.07,36.43
63,TC213303,Bella,B,1,2133-02-05 00:00:00,2133-02-05 18:00:00,2133-02-03 06:00:00,2133-02-03 06:00:00,2133-02-02 00:00:00,989.58,-49.52,32.69,989.58,-49.52,32.69,1002.51,-47.0,30.75,1006.88,-46.25,30.0,996.13,-49.94,27.58
64,TC213306,Erling,B,1,2133-03-29 00:00:00,2133-03-30 00:00:00,2133-03-25 06:00:00,2133-03-25 06:00:00,2133-03-24 18:00:00,992.54,-38.96,22.52,992.54,-38.96,22.52,1000.99,-40.89,34.89,1003.47,-37.96,41.14,997.05,-40.88,22.93
65,TC213406,Alissa,B,2,2134-08-29 00:00:00,2134-08-31 06:00:00,2134-08-22 00:00:00,2134-08-22 00:00:00,2134-08-19 12:00:00,997.3,-42.67,15.93,997.3,-42.67,15.93,1017.06,-74.0,28.5,1018.09,-67.25,32.75,1011.0,-39.54,13.01
66,TC213409,Daniel,B,1,2134-09-20 06:00:00,2134-09-22 00:00:00,2134-09-18 06:00:00,2134-09-18 06:00:00,2134-09-13 12:00:00,923.37,-79.63,26.44,923.37,-79.63,26.44,956.11,-77.99,34.43,991.81,-70.49,42.75,1009.42,-48.95,14.94
67,TC213410,Emmelyn,B,1,2134-10-15 18:00:00,2134-10-17 12:00:00,2134-10-16 06:00:00,2134-10-15 12:00:00,2134-10-13 12:00:00,990.07,-64.41,40.42,999.09,-66.68,36.54,997.8,-65.98,37.83,992.23,-55.21,50.03,1007.03,-68.2,32.05
68,TC213504,Luca,B,2,2135-09-09 18:00:00,2135-09-10 00:00:00,2135-09-11 12:00:00,2135-09-07 18:00:00,2135-09-07 00:00:00,995.79,-16.75,56.75,1013.47,-40.55,37.28,1016.51,-39.25,42.5,1017.23,-37.75,43.75,1016.14,-42.79,37.18
69,TC213506,Nabil,B,1,2135-10-19 00:00:00,2135-10-20 00:00:00,2135-10-21 06:00:00,2135-10-18 18:00:00,2135-10-14 06:00:00,970.22,-18.25,51.25,988.03,-48.48,38.15,985.47,-46.44,40.4,982.4,-26.92,49.0,1012.5,-38.59,32.46
70,TC213507,Rosalina,B,1,2135-10-30 18:00:00,2135-11-02 12:00:00,2135-11-01 00:00:00,2135-10-30 12:00:00,2135-10-28 06:00:00,993.42,-65.03,38.57,997.58,-68.8,29.22,997.89,-68.16,30.05,1007.12,-54.3,43.43,1007.88,-74.26,22.95
71,TC213508,Skyler,B,2,2135-11-19 18:00:00,2135-11-20 12:00:00,2135-11-16 18:00:00,2135-11-16 18:00:00,2135-11-15 18:00:00,973.88,-56.39,41.82,973.88,-56.39,41.82,1006.66,-47.06,42.13,983.62,-52.71,41.3,982.36,-62.44,37.45
72,TC213603,Blaise,B,1,2136-06-24 00:00:00,2136-06-24 06:00:00,2136-06-22 18:00:00,2136-06-22 18:00:00,2136-06-19 12:00:00,930.27,-63.58,33.09,930.27,-63.58,33.09,972.58,-46.73,40.88,982.56,-42.37,43.82,1000.39,-68.74,41.87
73,TC213606,Frederick,B,1,2136-10-01 12:00:00,2136-10-03 18:00:00,2136-09-30 00:00:00,2136-09-30 00:00:00,2136-09-23 06:00:00,942.75,-53.9,25.8,942.75,-53.9,25.8,957.06,-48.11,32.42,984.42,-29.69,53.45,1006.42,-29.23,15.18
74,TC213607,Gwyneth,B,1,2136-10-13 06:00:00,2136-10-21 18:00:00,2136-10-14 00:00:00,2136-10-11 18:00:00,2136-10-03 18:00:00,920.08,-76.35,29.82,932.41,-81.61,19.32,930.46,-77.57,26.36,987.64,-31.04,49.12,1008.38,-82.05,13.98
