,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
74,TC197513,Zack,C,1,1975-11-10 18:00:00,1975-11-12 06:00:00,1975-11-09 00:00:00,1975-11-09 00:00:00,1975-11-04 12:00:00,981.29,-76.09,16.58,981.29,-76.09,16.58,1000.27,-73.59,20.71,994.92,-62.32,25.6,1004.05,-79.6,9.63
75,TC197705,Tony,C,1,1977-09-20 12:00:00,1977-09-22 00:00:00,1977-09-18 06:00:00,1977-09-18 06:00:00,1977-09-11 00:00:00,973.39,-48.26,19.2,973.39,-48.26,19.2,988.53,-43.62,27.46,992.07,-22.0,41.0,1006.32,-23.87,9.27
76,TC197709,Christine,C,1,1977-10-28 00:00:00,1977-10-30 00:00:00,1977-10-27 12:00:00,1977-10-27 12:00:00,1977-10-23 00:00:00,947.13,-72.45,28.74,947.13,-72.45,28.74,950.47,-71.72,30.4,997.15,-56.25,38.75,1007.83,-62.67,22.15
77,TC197807,Maho,C,1,1978-10-09 00:00:00,1978-10-12 00:00:00,1978-10-08 00:00:00,1978-10-08 00:00:00,1978-09-27 18:00:00,887.03,-82.97,18.23,887.03,-82.97,18.23,919.28,-81.29,23.24,985.49,-66.29,39.47,1006.82,-26.76,11.37
78,TC197914,Noelle,C,1,1979-10-08 12:00:00,1979-10-10 12:00:00,1979-10-10 06:00:00,1979-10-08 06:00:00,1979-10-02 00:00:00,936.37,-67.02,42.07,984.69,-72.58,28.91,978.38,-71.91,30.28,949.84,-65.02,43.94,1004.43,-77.98,13.13
79,TC198105,Carson,C,1,1981-09-23 12:00:00,1981-09-24 06:00:00,1981-09-22 18:00:00,1981-09-22 18:00:00,1981-09-09 12:00:00,984.54,-66.12,35.05,984.54,-66.12,35.05,986.74,-61.96,41.81,1004.68,-53.25,48.25,1010.73,-32.56,11.23
80,TC198208,Rocco,C,1,1982-10-18 18:00:00,1982-10-20 06:00:00,1982-10-19 12:00:00,1982-10-18 12:00:00,1982-10-14 18:00:00,955.72,-54.16,42.2,973.74,-62.66,37.73,969.23,-61.11,38.47,974.31,-40.1,49.25,1012.74,-61.03,37.01
81,TC198210,Timothy,C,1,1982-11-11 12:00:00,1982-11-12 06:00:00,1982-11-06 00:00:00,1982-11-06 00:00:00,1982-10-30 18:00:00,972.12,-78.59,17.8,972.12,-78.59,17.8,997.51,-65.28,25.69,998.19,-61.75,27.25,1006.29,-77.15,8.57
82,TC198307,Joshua,C,1,1983-08-26 12:00:00,1983-08-27 18:00:00,1983-08-26 18:00:00,1983-08-26 06:00:00,1983-08-21 12:00:00,975.36,-62.95,40.72,975.69,-67.22,37.67,976.14,-65.2,39.13,990.92,-58.8,46.99,1011.18,-77.89,25.86
83,TC198413,Oxlip,C,1,1984-10-27 18:00:00,1984-11-01 00:00:00,1984-10-26 18:00:00,1984-10-26 18:00:00,1984-10-18 12:00:00,924.72,-66.6,23.39,924.72,-66.6,23.39,945.71,-65.35,24.37,973.36,-39.69,46.23,1006.28,-28.09,8.93
84,TC198503,Yan,C,1,1985-08-16 12:00:00,1985-08-18 12:00:00,1985-08-13 06:00:00,1985-08-13 06:00:00,1985-08-04 00:00:00,943.45,-49.91,25.33,943.45,-49.91,25.33,952.42,-49.06,41.15,988.18,-28.62,52.0,1011.27,-26.46,7.83
85,TC198604,Oscar,C,1,1986-09-13 00:00:00,1986-09-14 18:00:00,1986-09-12 18:00:00,1986-09-12 18:00:00,1986-09-01 12:00:00,978.69,-37.28,36.13,978.69,-37.28,36.13,981.41,-36.76,37.74,1007.94,-22.55,48.59,1009.39,-26.48,15.7
